1;1;06:22;08:14;12:35;14:26;16:46;18:06
1;2;06:22;08:14;12:35;14:26;16:47;18:07
1;3;06:23;08:13;12:36;14:27;16:48;18:08
1;4;06:23;08:13;12:36;14:28;16:49;18:09
1;5;06:23;08:13;12:37;14:29;16:50;18:10
1;6;06:22;08:13;12:37;14:30;16:51;18:11
1;7;06:22;08:13;12:37;14:31;16:52;18:12
1;8;06:22;08:12;12:38;14:32;16:53;18:13
1;9;06:22;08:12;12:38;14:33;16:55;18:15
1;10;06:22;08:11;12:39;14:34;16:56;18:16
1;11;06:22;08:11;12:39;14:36;16:57;18:17
1;12;06:21;08:10;12:39;14:37;16:58;18:18
1;13;06:21;08:10;12:40;14:38;17:00;18:20
1;14;06:20;08:09;12:40;14:39;17:01;18:21
1;15;06:20;08:09;12:41;14:40;17:03;18:23
1;16;06:20;08:08;12:41;14:41;17:04;18:24
1;17;06:19;08:07;12:41;14:43;17:05;18:25
1;18;06:18;08:06;12:42;14:44;17:07;18:27
1;19;06:18;08:06;12:42;14:45;17:08;18:28
1;20;06:17;08:05;12:42;14:46;17:10;18:30
1;21;06:17;08:04;12:43;14:48;17:11;18:31
1;22;06:16;08:03;12:43;14:49;17:13;18:33
1;23;06:15;08:02;12:43;14:50;17:14;18:34
1;24;06:14;08:01;12:43;14:52;17:16;18:36
1;25;06:13;08:00;12:44;14:53;17:18;18:38
1;26;06:13;07:58;12:44;14:54;17:19;18:39
1;27;06:12;07:57;12:44;14:55;17:21;18:41
1;28;06:11;07:56;12:44;14:57;17:22;18:42
1;29;06:10;07:55;12:44;14:58;17:24;18:44
1;30;06:09;07:54;12:45;14:59;17:26;18:46
1;31;06:08;07:52;12:45;15:01;17:27;18:47
